stop_id	name	latitude	longitude
node/10219015672	Carrefour du marché Cococdy	5.335875	-4.002003
node/10219015673	Feu de pâtisserie	5.335557	-3.999462
node/10219015674	Pharmacie Saint Marie	5.335359	-3.997948
node/10219015675	Carrefour Kadhafi	5.334800	-3.993374
node/10219015676	Campus 2 portail	5.334655	-3.990409
node/10219015677	District de Police de Cocody	5.336991	-3.985947
node/10219015678	Campus 1 portail	5.337957	-3.984934
node/10219015679	Rond-point Axa	5.338153	-3.975784
node/10219015680	Carrefour chefferie	5.341637	-3.974276
node/10219015681	Coco	5.344137	-3.974528
node/10219015682	Pharmacie Saint Pierre	5.346128	-3.975091
node/10219015683	Chez Rifat	5.349381	-3.976078
node/10219015684	Carrefour des prix	5.350121	-3.976257
node/10219015685	Carrefour SGBCI	5.351108	-3.976507
node/10219284911	Carrefour marché	5.356726	-3.940600
node/10219284912	1er étage	5.357482	-3.940474
node/10219284913	Le lapin	5.358535	-3.940285
node/10219284914	Immeuble assurance	5.359327	-3.940154
node/10219284915	Carrefour bambou	5.357955	-3.943043
node/10219284916	Antenne	5.357627	-3.943740
node/10219299418	Carrefour termitières	5.357310	-3.945392
node/10219299419	Camp ivoire	5.357773	-3.947623
node/10219299420	Carrefour béton	5.358135	-3.949023
node/10219299421	Rond-point de l'ancien camp	5.358673	-3.951137
node/10219299422	Clinique médicale Saint Viateur	5.359044	-3.952782
node/10219299423	Carrefour CMA	5.359437	-3.954245
node/10293290890	Mel Théodore	5.345521	-3.952473
node/10293312741	Cité Belles Fleurs Riviera 3	5.346354	-3.952746
node/10293312742	Lycée Américain	5.348255	-3.953115
node/10293312743	Ancien Garage	5.349900	-3.954476
node/10293312745	Pharmacie St Agathe	5.355237	-3.960981
node/10293470011	Carrefour Martin	5.332443	-3.936563
node/10293470012	A la foire	5.333327	-3.937399
node/10293470013	Carrefour Université	5.334383	-3.938384
node/10293470014	Carrefour Valinbet	5.336659	-3.940506
node/10293470015	Carrefour Akwaba	5.337730	-3.941675
node/10293470017	Gare 9 Kilo	5.356923	-3.962969
node/10296715480	Hôtel Palm Club	5.352415	-4.002059
node/10296715481	Farandole	5.363149	-3.997609
node/10296715482	Carrefour macaci	5.365339	-3.997605
node/10296715483	2 Plateaux Mobil	5.368598	-3.998305
node/10296715485	Petit Carrefour	5.372522	-3.998542
node/10296715486	Carrefour 12ème arrondissement	5.374942	-3.998564
node/10296715487	Mahikari	5.389479	-3.992664
node/10296715488	Ancienne Ambassade de Chine	5.391912	-3.992366
node/10296715489	Cité Papayer	5.395707	-3.991886
node/10296715490	22ème	5.398181	-3.991591
node/10314834892	Mosquée Aghien	5.382880	-3.993463
node/10314834893	Opera	5.385499	-3.993148
node/10314834898	Victor Lobad	5.411643	-3.994575
node/10314834902	Gare Carrefour Angré	5.414083	-3.995423
node/10537894025	Carrefour Batim	5.408425	-3.992409
node/10537894026	Star 9	5.410147	-3.993918
node/10537894027	Carrefour Hôpital	5.412683	-3.994939
node/10540411650	Château	5.338171	-4.003807
node/10540411652	Immeuble Carbone	5.347086	-4.002744
node/10540411653	A l'arrêt	5.351431	-4.002190
node/10541854662	Djeddah	5.245961	-3.937754
node/10541854663	1er Arrêt Adjoufou	5.244697	-3.929652
node/10541854664	Terminus Gonzagueville	5.240081	-3.900822
node/10541854665	Terre rouge	5.239950	-3.899893
node/10541854666	Carrefour Chien	5.238905	-3.893169
node/10541854667	Carrefour Motar	5.237530	-3.883914
node/10541854668	Terminus Anani	5.236885	-3.879818
node/10548664715	Akwaba - Rond-Point	5.266670	-3.960799
node/10555172691	Carrefour Complexe	5.348824	-4.020630
node/10555172692	Maternité Thérese	5.348107	-4.018285
node/10555172693	Au Tournant	5.347986	-4.017360
node/10555172697	Shell	5.352370	-4.017055
node/10556394811	Palais des Sports	5.298477	-4.005154
